,job_id,has_phd,title
370,jl_c12d42479c76b035,1,Bioinformatics Scientist Job
371,jl_20649ecb991873ed,1,Senior Autonomy and Robotics Scientist with Security Clearan...
372,jl_451440b8fbc354ed,1,Postdoctoral Computational Biologist
373,jl_206b81e2c3c8e0a7,1,"Postdoctoral Associate, Core Plasma Transport Physics"
374,jl_5f89f71a055552d1,1,Research Fellow in Cancer Computational Biology
375,jl_ec2d2986c749d894,1,IHP Program Coordinator (STAFF)
376,jl_16672b9154e12f29,1,Senior Biostatistician II - Immunology
377,jl_ca6ef637728c551f,1,IT Data Analytics Lead
378,jl_6ea9738fed1dfbbb,1,Scientist/Manager: Viral Vector Production
379,jl_bd0038be66f49dde,1,Clinical Research Coord. I
380,jl_c02b490cb3149ab8,1,Data Specialist (Boston): 1608-2015
381,jl_14189a38f99aca8b,1,"Director, Information Products"
382,jl_ca6ef637728c551f,1,IT Data Analytics Lead
383,jl_296ab9058caf5e24,1,Data Scientist
384,jl_93adefbf5a259fea,1,"Senior Software Engineer, Data & Analytics"
385,jl_1a0d9b18b64b536c,1,Postdoctoral Fellow
386,jl_1517be92f9487e9a,1,Principal Medical Software Architect
387,jl_16672b9154e12f29,1,Senior Biostatistician II - Immunology
388,jl_53e8fd1a58c8f1b7,1,"Associate Director, Spinal Muscular Atrophy (SMA)"
389,jl_363d957aa1aada51,1,Associate Director Bioinformatics
390,jl_f7bddb9784a6c6de,1,Research Fellow
391,jl_93adefbf5a259fea,1,"Senior Software Engineer, Data & Analytics"
392,jl_1541e1712853907a,1,Bioinformatics Software Specialist II
393,jl_15766653181466c8,1,Principal Software Engineer - Image Reconstruction
394,jl_add3234b30c125ce,1,Senior Technical Writer - Engineering Learning
395,jl_a67fe5b77afb9bcf,1,Principal Data & Applied Scientist
