,store_number,zipcode,County,2015_margin_avg_$,2015_price_avg_$pL,2015_volume_total_L,2015_volume_avg_L,2015_sales_total_$,2015_sales_avg_$,city,County number,2015Q1_sales_total_$,2015Q1_volume_total_L,2016Q1_sales_total_$,2016Q1_volume_total_L,First Date,Last Date
965,4848,50273,Madison,22.093749999999996,18.021905380081865,315.55,4.382638888888889,4753.04,66.01444444444445,WINTERSET,61,1169.96,80.98,872.57,56.75,2015-01-05,2016-03-28
966,4849,50314,Polk,166.64,41.19766666666668,249.0,12.45,9997.339999999998,499.8669999999999,DES MOINES,77,1474.32,65.4,1430.29,85.0,2015-01-26,2016-01-04
967,4852,52404,Linn,39.86818181818182,16.552041467304626,181.03,8.228636363636364,2630.45,119.56590909090909,CEDAR RAPIDS,57,501.17999999999995,38.4,255.42,12.370000000000001,2015-02-24,2016-03-22
968,4853,50131,Polk,20.324318181818178,17.59848628764852,182.04999999999998,4.137499999999999,2658.8899999999994,60.42931818181817,JOHNSTON,77,381.90999999999997,39.620000000000005,1049.2099999999998,80.47,2015-04-16,2016-03-10
969,4854,50514,Emmet,50.421428571428564,13.521224489795918,195.0,13.928571428571429,2116.4400000000005,151.17428571428576,ARMSTRONG,32,723.72,45.0,2112.7300000000005,160.60999999999999,2015-02-24,2016-03-15
970,4855,52076,Clayton,88.11,15.78952380952381,87.0,21.75,1038.36,259.59,STRAWBERRY POINT,22,358.32,42.0,3622.26,320.40000000000003,2015-01-05,2016-03-28
971,4856,52253,Linn,27.23981818181819,14.999785714285713,740.5999999999999,6.732727272727272,8916.770000000002,81.06154545454548,LISBON,57,1931.4300000000003,156.05,4780.469999999999,263.92,2015-04-02,2016-01-21
972,4857,52655,Des Moines,21.906923076923075,23.808018072315456,141.1,3.617948717948718,2561.8299999999995,65.6879487179487,WEST BURLINGTON,29,1008.36,62.120000000000005,1496.4900000000002,96.0,2015-02-03,2016-03-22
973,4858,52655,Des Moines,13.221666666666666,19.133009259259257,43.15,2.397222222222222,711.53,39.529444444444444,WEST BURLINGTON,29,134.7,11.25,9289.530000000002,568.0,2015-03-05,2016-03-31
974,4859,52601,Des Moines,38.236944444444426,18.162500000000005,263.5,7.319444444444445,4126.950000000001,114.63750000000002,BURLINGTON,29,1750.66,128.0,498.51,45.75,2015-01-07,2016-03-30
